jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Duelos ofensivos ganados p90,Regates exitosos p90,Faltas recibidas p90
M. Ajú,Pérez Zeledón,598,gk,26,0.3,0,0.6
G. González,Sporting San José,1568,"rcb, cb",38,0.29,0.11,0.17
R. Miranda,Guadalupe,1575,"cb, lcb, rcb",30,0.23,0.06,0.17
P. Arboine,Deportivo Saprissa,1628,rcb,28,0.17,0.11,0.11
Y. Molina,Municipal Liberia,1544,"rcb3, rcb",30,0.17,0,0.23
L. Moreira,Sporting San José,1646,gk,36,0.16,0,0.22
A. Monreal,Municipal Liberia,1701,gk,31,0.16,0,0.32
B. Segura,Pérez Zeledón,1156,gk,29,0.16,0,0.62
J. Agüero,San Carlos,1748,"cb, lcb, rcb",32,0.15,0,0.26
K. Briceño,Cartaginés,1867,gk,34,0.14,0,0.67
J. Delgado,Guadalupe,711,gk,32,0.13,0,0.38
M. González,San Carlos,1547,gk,29,0.12,0,0.23
W. Ortega,Alajuelense,1452,gk,31,0.12,0,0.19
A. Pineda,Puntarenas,1709,gk,29,0.11,0.05,0.26
D. Carvajal,Herediano,1642,gk,37,0,0,0.05
A. Madriz,Deportivo Saprissa,1774,gk,22,0,0,0.05
R. Leal,Guadalupe,1025,gk,24,0,0,0.18
