jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Ganancia de duelos,Ganancia de encares,Ganancia de duelos aéreos de campo ganados,Posesión perdida peligrosa en campo propio p90
L. Flores,Cartaginés,1668,"rcmf, lcmf, ldmf",32,49.69,58.33,24.32,0.32
R. Ramírez,Municipal Liberia,699,"lw, lcmf3, cf",22,32.96,42.86,23.81,0.26
G. Castro,Cartaginés,567,"ramf, rw, cf",24,43.8,57.14,20,0.32
A. Hernández,Alajuelense,905,"rw, ramf, lcmf",24,36.05,16.67,18.75,0.2
G. Sibaja Pérez,Herediano,616,"rw, lw",17,40.91,66.67,17.39,0.15
D. Guzmán,Deportivo Saprissa,922,"ldmf, dmf, rcmf",36,51.85,52.94,17.39,0.39
M. Pereira,Pérez Zeledón,1217,cf,21,31.63,25,16.67,0.74
M. Ureña,Sporting San José,676,"cf, amf",36,36.84,100,15.38,0.13
G. Torres,Deportivo Saprissa,708,"rw, ramf",28,47.87,53.85,13.33,0.25
B. Sequeira,Municipal Liberia,688,"rb, rw",28,37,31.25,12.5,0.52
A. Rodríguez,Deportivo Saprissa,538,cf,36,27.4,50,12.12,0.17
A. Amador,Guadalupe,893,"lw, rw, lamf",25,51.5,44.44,11.11,0.3
D. Carvajal,Herediano,1642,gk,37,33.33,0,0,0.16
M. Villalobos Vega,Municipal Liberia,863,"lw, rcmf3, lcmf3",26,40.94,60,0,0.21
A. Guevara,San Carlos,688,"lw, lcmf3, lwf",37,41.75,33.33,0,0.39
W. Ortega,Alajuelense,1452,gk,31,60,0,0,0.25
B. Segura,Pérez Zeledón,1156,gk,29,69.57,33.33,0,0.31
L. Moreira,Sporting San José,1646,gk,36,72.73,0,0,0.11
M. González,San Carlos,1547,gk,29,75,100,0,0.06
R. Leal,Guadalupe,1025,gk,24,76.47,0,0,0.26
A. Madriz,Deportivo Saprissa,1774,gk,22,77.78,50,0,0.2
J. Delgado,Guadalupe,711,gk,32,81.82,100,0,0.13
K. Briceño,Cartaginés,1867,gk,34,83.87,40,0,0.19
A. Monreal,Municipal Liberia,1701,gk,31,84,0,0,0.16
A. Pineda,Puntarenas,1709,gk,29,85.71,0,0,0.05
M. Ajú,Pérez Zeledón,598,gk,26,88.89,50,0,0.3
