jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Goles p90,Remates p90,Remates a puerta p90,Conversión de gol,xG p90
S. Rodríguez,Herediano,1585,"dmf, rcb3, lcmf",30,0,0.51,0,0,0.01
J. Rubio,Herediano,1619,"lcb, lcb3",29,0.06,0.44,0.17,12.5,0.04
F. Faerrón,Cartaginés,1025,lcb,25,0.18,0.44,0.26,40,0.11
A. Salazar,Alajuelense,1451,"rcb, rcb3, rb",27,0,0.43,0.06,0,0.05
K. Gutiérrez,Puntarenas,628,"cb, rcb, rcb3",36,0,0.43,0,0,0.09
E. Drummond Arroyo,Pérez Zeledón,903,"lcmf, dmf, rcmf",20,0,0.4,0.1,0,0.01
P. Arboine,Deportivo Saprissa,1628,rcb,28,0,0.39,0,0,0.04
B. Sequeira,Municipal Liberia,688,"rb, rw",28,0.13,0.39,0.13,33.33,0.03
A. Sinclair,Puntarenas,732,"rcmf, lcmf, rdmf",26,0,0.37,0.12,0,0.03
D. Mesén,Cartaginés,1324,rcb,27,0,0.34,0.14,0,0.03
C. Barahona,Cartaginés,1131,rb,23,0,0.32,0.08,0,0.02
J. Mora,Deportivo Saprissa,555,"lb, lwb",33,0,0.32,0,0,0
J. Huertas,Municipal Liberia,1117,"cb, rcb, rb",31,0,0.32,0.16,0,0.01
R. Rivera,San Carlos,1108,"rcb3, rb, rwb",27,0.08,0.32,0.08,25,0.04
C. Reyes,Municipal Liberia,1459,"lcb, lcb3, rcb3",30,0,0.31,0.06,0,0.01
H. Muñoz,Puntarenas,1490,"rcb3, rcb, rb",31,0,0.3,0,0,0.03
Y. Molina,Municipal Liberia,1544,"rcb3, rcb",30,0,0.29,0.06,0,0.02
P. Fonseca,San Carlos,625,"rcb3, rb",27,0.14,0.29,0.14,50,0.04
J. Azofeifa,Deportivo Saprissa,1306,lb,25,0,0.28,0.07,0,0.01
L. Ayala,Guadalupe,642,"lcb, lcb3, lcmf",28,0,0.28,0,0,0.01
M. Pereira,Cartaginés,1408,"lcb, rcb",31,0.06,0.26,0.06,25,0.04
R. Blanco,Deportivo Saprissa,777,rb,37,0,0.23,0,0,0.01
S. Taylor,Deportivo Saprissa,1634,"rb, rb5",22,0,0.22,0,0,0.01
K. Brown,Herediano,1232,"rcb, cb, lcb",34,0,0.22,0,0,0.02
J. Agüero,San Carlos,1748,"cb, lcb, rcb",32,0,0.21,0.05,0,0.02
Y. Piedra,San Carlos,936,"lcb3, lcb",32,0,0.19,0,0,0.02
W. Decas,Puntarenas,1505,"cb, lcb, lcb3",26,0,0.18,0.12,0,0.04
A. Soto,Sporting San José,1520,"lcb, lcb3",34,0,0.18,0,0,0
K. Fajardo,Guadalupe,714,"lcb3, lcb",36,0,0.13,0,0,0.01
S. van der Putten,Alajuelense,730,"rcb, cb",21,0.12,0.12,0.12,100,0.01
R. Miranda,Guadalupe,1575,"cb, lcb, rcb",30,0,0.11,0,0,0.01
W. Fernández,Pérez Zeledón,1726,"rcb, lcb",32,0.05,0.1,0.05,50,0
C. Pineda,Sporting San José,965,"lcmf, rcmf",28,0,0.09,0,0,0
W. Francis,Municipal Liberia,1026,"lcb3, lb5, lb",35,0,0.09,0.09,0,0
A. Monreal,Municipal Liberia,1701,gk,31,0,0,0,0,0
W. Ortega,Alajuelense,1452,gk,31,0,0,0,0,0
B. Segura,Pérez Zeledón,1156,gk,29,0,0,0,0,0
A. Pineda,Puntarenas,1709,gk,29,0,0,0,0,0
M. González,San Carlos,1547,gk,29,0,0,0,0,0
K. Espinoza,Sporting San José,561,"rcb3, rcb",29,0,0,0,0,0
M. Ajú,Pérez Zeledón,598,gk,26,0,0,0,0,0
L. Moreira,Sporting San José,1646,gk,36,0,0,0,0,0
A. Madriz,Deportivo Saprissa,1774,gk,22,0,0,0,0,0
K. Briceño,Cartaginés,1867,gk,34,0,0,0,0,0
R. Leal,Guadalupe,1025,gk,24,0,0,0,0,0
J. Delgado,Guadalupe,711,gk,32,0,0,0,0,0
D. Carvajal,Herediano,1642,gk,37,0,0,0,0,0
